r_knee_range,l_knee_range,r_knee_avg,l_knee_avg,knee_asymmetry,r_hip_range,l_hip_range,r_hip_avg,l_hip_avg,hip_asymmetry,r_ankle_avg,l_ankle_avg,torso_angle_mean,torso_angle_max,hip_y_range,knee_depth_left,knee_depth_right,knee_width_mean,hip_width_mean,frames,label
118.01941954470958,121.89964911907308,157.11739292471395,156.099641523559,4.82375010450895,130.21231264936063,124.77090857345806,159.12203813435033,156.78406570073855,5.4506383376541425,168.40228183531678,170.17783759431344,10.839690574797098,41.26434087971583,84.5,317.0,319.0,14.419354838709678,9.935483870967742,31,correct
110.9888223238508,117.38769207414435,134.08818369115463,139.34207185560467,5.4206011113464525,99.32841496929031,110.37353612983493,146.22080703221837,143.43940537317013,4.74074005698215,158.64083859682825,160.1355992989875,12.265750407088406,35.42840435505221,55.5,328.0,330.0,10.078947368421053,14.894736842105264,38,shallow_depth
116.05986842617104,120.07531403675281,135.28975771732266,140.63017250586321,5.939571028891297,107.65445097617116,113.82732295213991,143.8103946157338,141.06476779731736,4.726558066134425,158.41192309090863,159.8279607817951,14.162358889267654,40.848714741115835,57.5,325.0,323.0,10.774193548387096,18.35483870967742,31,shallow_depth
103.62978054443155,100.49381768243254,145.25095256906906,145.40119383777167,2.861746033708863,110.71323056615573,111.97347566399742,148.076717845572,147.80286803138603,4.2774940714114615,164.03172076663574,161.6536243895529,12.43540547727617,45.44072807889864,38.5,326.0,328.0,20.551724137931036,22.17241379310345,29,shallow_depth
107.61054763391482,115.53770499891922,135.6394402749264,138.3987635205431,3.9874014797400306,112.60817730827495,117.19265473723715,146.5149009533666,141.33680473882453,5.963963824341001,160.89675047303936,158.63894874002875,12.926659211814526,44.05304856014725,53.0,324.0,324.0,19.655172413793103,25.586206896551722,29,shallow_depth
133.5858954532824,138.30174014083116,122.30808838883672,126.96926090956734,5.512613771837234,113.0609988294862,106.94175821976188,142.46584382147304,142.0435082440846,2.9407744656532677,151.86764101448148,157.16115438690943,8.137271695450831,26.970439090526305,87.0,287.0,291.0,5.0625,7.28125,32,correct
140.45050244059053,141.10254752884734,114.30315891577322,117.24842716299612,4.382691371265595,123.04738235253016,118.54434860479783,131.96320977064232,134.29340476918617,4.301708262460259,150.556623974083,153.17161410772883,10.73480172474637,30.493358411790975,102.5,285.0,287.0,4.4,5.12,25,correct
139.0960396766688,137.37903661361827,116.84919634415702,118.60010156186753,3.4510735453552837,114.9978162753218,112.855541915189,130.583554759016,132.73017676333615,3.371760458327043,153.05347969054858,154.3575217117261,12.518687124200127,28.00368388233795,99.5,287.0,291.0,3.0,8.064516129032258,31,correct
139.39413513351565,140.98736614999552,120.24370379110515,124.03343963937678,5.103577560511015,120.92126472609405,118.69389173463087,137.7233944126749,137.99566797657016,3.0539669424945024,152.21230038974863,155.93519346532204,9.591665032133584,26.695863243416404,107.0,287.0,291.0,5.314285714285714,7.257142857142857,35,correct
137.83957262146367,147.74954439037205,107.9254706425622,113.23080890202681,6.105774837410586,120.81599354065446,117.71235415839458,131.18595496170605,131.38109575938398,2.2441238331606828,146.3613277388619,151.11699108964706,10.592586984482272,27.82409639492096,104.0,287.0,292.0,5.78125,7.375,32,correct
139.8395614043655,144.94724323238603,95.15862175521126,97.73391707925487,3.193359689837576,118.9961683294007,122.59760149250427,116.01497517304658,116.1001408980875,2.1896596379472024,144.8596510907808,147.07646129684676,13.611966678276588,28.321211249217153,103.5,287.0,290.0,6.083333333333333,5.791666666666667,24,correct
130.72248760549348,136.691499388917,121.8060453674988,126.631100219464,4.947812521612983,90.55187184239962,85.38872953911658,145.915624329306,145.0840901027561,3.2132509569448895,151.1343261442384,157.0225667094134,5.669338434229919,14.233361219085081,72.0,288.0,295.0,2.9642857142857144,6.285714285714286,28,shallow_depth

